id,name,address,industry,founded_date
1,TechVision Solutions,100 Innovation Drive Boston MA 02115,Technology,2018-03-15
2,Global Finance Corp,250 Wall Street New York NY 10005,Finance,2015-06-20
3,HealthCare Partners,500 Medical Plaza Chicago IL 60611,Healthcare,2017-09-10
4,EduTech Systems,75 University Ave Cambridge MA 02139,Education,2019-01-05
5,Green Energy Inc,300 Sustainability Blvd Portland OR 97204,Energy,2016-11-12
6,Retail Dynamics,450 Commerce Street Los Angeles CA 90012,Retail,2014-08-25
7,Manufacturing Pro,200 Industrial Park Detroit MI 48201,Manufacturing,2012-05-30
8,Consulting Group LLC,125 Business Center Austin TX 78701,Consulting,2020-02-14
9,Media Solutions Corp,350 Content Way San Francisco CA 94102,Media,2017-07-19
10,Legal Associates,175 Justice Plaza Washington DC 20001,Legal,2013-10-08
11,Real Estate Holdings,225 Property Lane Miami FL 33101,Real Estate,2015-12-01
12,Food Services Co,400 Culinary Street Seattle WA 98101,Food & Beverage,2018-04-22
13,Transportation Systems,150 Logistics Ave Atlanta GA 30303,Transportation,2016-03-18
14,Biotech Innovations,275 Research Park San Diego CA 92101,Biotechnology,2019-08-05
15,Insurance Partners,325 Security Blvd Philadelphia PA 19101,Insurance,2014-11-15
